ts_index,periodicity,trend_score,seasonality_score,nonlinearity,skew,kurtosis,hurst,lyapunov
0,1.0,1.0,0.0,0.9345170284151271,0.08344710916396815,-0.7191469956306333,0.4314469740244621,0.0012638799605832007
1,77.0,-0.07728888733117345,-3.662810478946767,1.0145496933209996,0.04539536424030207,-0.43297172370464443,0.3069966969218686,-0.0014013768654588994
2,157.0,-1.7371751457867708,-0.3126402357045872,1.0146454492751937,0.011550407113471316,-0.6106186538703398,0.3599159648510681,-0.003914292110199373
3,35.0,-0.02198642927817751,-21.81688123397635,0.36883683218398783,0.12489460623508683,-0.8832364801746748,0.07809214737444209,-0.0011212051769588134
4,199.0,-0.02919683134865969,-3.816527845270599,0.7144503122649903,0.10151537285656989,-0.8274185369533322,0.38494233125883853,-0.0009188419383962177
5,157.0,-409.1039997993018,0.0005103408747042515,1.0002760006186373,-0.0030329286065370804,-1.4933911865207734,0.2260283458021017,-0.0008302102579135024
6,233.0,-0.6156600940731098,-0.754070642372419,1.009706360454095,0.052483841756138364,-0.49473900247886515,0.3891498269806647,0.0024678565360409465
7,105.0,-0.03745463368908286,-23.43479519206257,0.8291266056751759,0.05878059624591406,-1.0774419271016238,0.531523912750863,0.00033768454750773987
8,41.0,-0.007829653454008323,-44.51861111514009,0.5601367367802075,0.22836429209519515,-0.5542374193939925,0.548736822900851,0.00029243939591859616
9,43.0,-0.0018272091029720716,-188.22622751378222,0.2621988673064382,0.0506857943656735,-1.1535895307191435,0.6308578290011991,-0.0001342707474095256
10,35.0,-0.023231254265390966,-23.04732895757027,0.5373795065792369,0.21474825161236719,-0.8952267824255151,0.46236981417248574,-0.000285914198297233
11,119.0,-1.1363456231054236,-0.45851990211272486,0.9272351352953199,-0.00514301542424045,-0.49477687318753283,0.26424894779661934,0.0002932551426948629
12,9.0,-0.010636209451091005,-32.43083440868418,0.13092838065449156,0.11225020735824073,-0.9972369776569772,0.49442370090529,0.0008158021595453191
