ts_index,periodicity,trend_score,seasonality_score,nonlinearity,skew,kurtosis,lyapunov
0,25.0,-2.825127673359844,-0.2969881220518096,4.411431211306938,2.042393473593926,13.564432735895899,0.01109815094186744
1,1.0,1.0,0.0,1338.172768225227,13.283566628747327,198.73401440406246,0.032938258092206275
2,275.0,-1.4489395947544303,-0.019408149516917828,4.80323974265381,10.300630275557713,171.1433524476054,0.004799115901090298
3,25.0,-2.3701680523400377,-0.18765392970940065,1.5284818022042959,1.4680141332667667,8.777338364136295,-0.007079512208372862
4,25.0,-9.627068442055641,-0.024337176429706453,3.1188653683515226,0.46283054587162215,-0.6186303134288997,-0.0004066980265556705
5,87.0,-0.01322863188679646,-14.722557296218598,451.5810154717067,2.041036963270927,2.2721643795219695,0.0171369128059923
6,23.0,-0.5169449725892472,-0.3399001679743019,4.455065663060076,-2.6859734251430996,12.408203297020398,0.0015458545449103238
7,25.0,-2.1942422144046536,-0.3135045060901045,5.112614166820252,-0.6491543395061156,3.6172674557279807,0.0009029958484845468
8,13.0,-0.16039217308343412,-2.872794853111617,2.2159175922761576,-0.22444667311384192,-0.9963921195195287,0.0004128909611198164
9,25.0,-0.8126579745944627,-1.001078385805911,1.608805838087788,1.5837002184769704,1.441337355917831,0.004690883089274123
10,25.0,-0.6143965114664509,-1.13470785508009,5.630769919351396,-3.7203879827139374,26.705429970377008,0.008534167951298546
11,53.0,-0.6991279753470354,-0.1657191746050508,2.0113083356778074,9.936732149324657,106.58073511771751,0.04684841048483753
12,439.0,-2.7344159994301873,-0.2773970223760227,342.53607147115986,6.09397317793169,39.38084433346992,0.007578357246205339
13,21.0,-0.4984024741577844,-0.03220718358744201,2.0491142762614882,5.707261958206654,88.92544705841216,0.02568998703589795
14,1.0,1.0,0.0,2.8042295549290497,-0.20176637335269373,-0.9323621688821739,0.00017211820695753316
15,25.0,-9.627068442055641,-0.024337176429706453,3.1188653683515226,0.46283054587162215,-0.6186303134288997,-0.0002171120540809927
16,145.0,-0.14611272185835444,-4.564374243046343,10285.006636287124,1.8429705378681236,1.896458302140899,0.010042203407661668
17,49.0,-7.061011802673571,-0.053343445977008574,2.1354479465915905,-0.059337530893915906,-0.06564376390387272,0.0008357234467243115
18,21.0,-0.4162730206593064,-0.18620445807721486,5.992887519703544,9.432237715787418,137.59184924784478,0.0016565196687219302
