ts_index,periodicity,trend_score,seasonality_score,nonlinearity,skew,kurtosis,lyapunov
19,189.0,-0.5495958475877636,-0.374039055563653,0.45229266012102043,2.7869729338246776,8.287896388765096,0.005817526079750831
20,49.0,-0.20025553015355202,-1.9858661060404628,0.8468449752884771,2.5076572793040706,5.656484396076179,0.02060756496354659
21,25.0,-0.6819426090766538,-0.5404960814260398,5.46056813724521,-4.1353651978134796,44.01651392510843,0.015694581025525973
22,71.0,-2.1902793853342013,-0.248253704345901,6.377807646862998,14.191273830389274,245.60576439429497,0.007464147535613234
23,1.0,1.0,0.0,7.778140732234669,3.8427496411361277,28.06773147011505,0.008760274507537151
24,27.0,-1.3192376866425075,-0.10417589026915852,4.9225788840992575,20.761669720808847,627.1588511855879,0.002563973612193433
25,1.0,1.0,0.0,13.342711274375576,32.759322288378655,1169.321695134218,0.011995183777164773
26,1.0,1.0,0.0,2.160177436955178,-0.47683220388808895,-1.0871225387086174,0.0027527061717735578
27,1.0,1.0,0.0,0.3868423225689631,28.0105896819225,948.8353254089532,0.008946775127647535
28,7.0,-0.09953796178935748,-3.6064007252173935,0.7451256885723933,1.3582980949671635,2.1983375021599105,-0.003800671045583095
29,25.0,-1.1112896272630244,-0.5777692882685734,3.2064756559066714,-0.6201462959430837,3.110945250482681,0.002890671553050592
30,25.0,-1.0938238218636647,-0.5165803880172124,3.1032045417431404,1.0840852896337334,5.26256219568649,0.0024203481345342376
31,5.0,-0.22979334979154187,-1.2219765022808464,3.6585535766909647,0.44096370913200644,0.8173040874616744,0.0028538030833324514
32,17.0,-0.4466553775401241,-0.11566237056397277,2.668768845254082,-1.4599369773602016,1.8653241126852143,-0.00249741039297652
33,23.0,-0.0669513607174752,-7.0581325657732705,9.729055458962526,1.2826528420319256,3.2269758816891683,0.008133631592593574
34,443.0,-2.82643640722447,-0.261169969800771,210.89227326894172,5.68250446977679,31.387936719255023,0.009781245180045204
35,81.0,-0.32095481163008044,-0.16027329673419444,1.9296293997403262,0.8055777961419651,0.5366645266723791,-0.002396080465940685
36,27.0,-1.3192376866425075,-0.10417589026915852,4.9225788840992575,20.761669720808847,627.1588511855879,0.002563973612193433
37,25.0,-0.7952325206750037,-0.5934857613996638,1.8184757910066256,0.6698117111976597,-0.044521750108793334,0.011537945160469314
38,21.0,-0.22806377512930975,-1.130875071697635,286.6412576333769,4.602963113304979,27.68164878312331,-0.002594547887001764
39,13.0,-0.11494284969592483,-2.567772761127382,2.968958304647851,-0.7414620267346825,0.16755906893649852,0.005352501620613513
40,9.0,-0.2968343476872677,-0.3608561282614442,1.4521950977458784,0.9310360746365441,1.4022838373693691,-0.0011650394501762633
41,101.0,-1.5556482431515555,-0.27476473126867873,394.2967941881307,8.00973595247593,69.13195767966734,0.008297090902281925
42,25.0,-0.582615517411762,-0.5145506595886395,4.725067781328617,3.351776940524423,30.731450600081075,0.005198114106051599
43,15.0,-0.2929630957345064,-0.4578594674682199,2.936600619630051,2.2778105805131763,13.946792588022788,0.0013814661176464345
44,25.0,-0.6143965114664509,-1.13470785508009,5.630769919351396,-3.7203879827139374,26.705429970377008,0.008534167951298546
45,473.0,-0.09257486407937177,-2.1629285579294897,4.159635684299434,1.426794450294541,3.769597508509234,0.013437519981974252
46,13.0,-0.8425306250093461,-0.5551329102356066,20.32316365205935,8.236190931897324,82.6928170183703,0.04515181584920589
47,25.0,-7.373936463953269,-0.0801089490254796,2.5251390350731886,-0.1842563171519827,-1.2695477115290377,-0.00951666360373086
48,13.0,-0.49993455522739394,-0.7113087852517692,2.4977177856606834,-0.04439890523820965,-0.64694396560451,-0.0037071933746338193
49,25.0,-0.31919152872915135,-2.6643808523280184,2.0700735992745263,0.40185375919812427,0.0840131670112525,0.013215651878943507
50,25.0,-0.6464208102294988,-0.08173440932307141,0.347631227505984,22.747028741254866,701.4597640095611,-0.00021887114553761105
51,145.0,-2.463007311938366,-0.2519300659470385,2.586061121192384,0.10761922224855858,-0.4885651200449681,0.011097453411360472
52,73.0,-0.3016533314392298,-1.918308347599925,463.28813068645786,6.5154337937617015,46.29514311059655,0.003822328911021495
53,69.0,-0.7539487571260677,-0.587370329376214,5.93043928283732,3.4685595424775015,22.71904241362016,0.006732866280533103
54,21.0,-0.16044289082191443,-3.335964693685895,2.2167889625896553,1.0674430365788954,7.146958345077135,0.007725294487700507
55,25.0,-0.6717202381665521,-1.9295046856968856,5.772663687728594,7.973125399960312,87.56135337171709,0.017812866181658046
56,1.0,1.0,0.0,3.02368193514096,-0.25104480635047477,-0.45545358283290804,0.009787823937155994
57,11.0,-0.34888806955315244,-1.3945912907420572,659.9081923423946,8.874960996904603,81.37386046096621,0.010151756577572696
58,355.0,-3.610395523925413,-0.042899760195701964,34.13804967921962,18.79114004596564,416.9228443721467,0.03962714069492203
59,419.0,-0.6772279207778071,-0.09706310490287073,4.239689068316854,-0.8282865573494349,1.570699011814133,0.008053582831466927
60,25.0,-12.236408248150854,-0.02879298739297531,2.3811124915695636,-0.33238245413646017,-1.0076087903754636,-0.0005597017028115113
61,1.0,1.0,0.0,1.3427294835391672,1.7215757772399212,1.6141887953286274,0.02318886640120497
62,441.0,-2.845313454145674,-0.26000576366305883,755.1559068334191,5.640893627470223,30.4805772858439,-0.004962040590763553
63,445.0,-1.0456324899023062,-0.04064229638149852,1.371141103209648,2.048585220848631,5.699765601476992,-0.0011753251533182143
64,145.0,-2.4113010610544467,-0.2600308345919564,2.6085799226531066,0.10462396671279763,-0.5392856271007958,0.01095330016057293
65,23.0,-0.43806371054952953,-0.28265848506055224,3.6987641081950846,12.233753095212169,232.3031094043755,0.024764188800202775
66,19.0,-0.01724391589686136,-21.251413914277286,356.7980660142468,2.172477206765351,3.076131788509045,0.01577385262548449
